client_id,date,sex,age,car,car_type,decline_app_cnt,score_bki,bki_request_cnt,region_rating,income,foreign_passport,default
25905,01-02-2014,1,62,1,1,0,-2.00875292,1,50,18000,0,0
63161,12-03-2014,0,59,0,0,0,-1.53227621,3,50,19000,0,0
25887,01-02-2014,1,25,1,0,2,-1.40814226,1,80,30000,1,0
16222,23-01-2014,0,53,0,0,0,-2.05747134,2,50,10000,0,0
101655,18-04-2014,1,48,0,0,0,-1.24472274,1,60,30000,1,0
41415,18-02-2014,1,27,1,0,0,-2.03225725,0,50,15000,0,0
28436,04-02-2014,1,39,0,0,0,-2.22500363,0,60,28000,0,0
68769,17-03-2014,0,39,0,0,0,-1.52273914,1,50,45000,0,0
38424,14-02-2014,0,50,1,0,1,-1.67606085,0,50,30000,0,0
4496,10-01-2014,0,54,0,0,0,-2.69517561,1,50,24000,0,0
26995,03-02-2014,1,50,1,0,2,-1.70010457,1,80,60000,1,0
91883,08-04-2014,1,29,0,0,0,-1.87002204,2,50,40000,0,0
2828,08-01-2014,0,32,0,0,0,-1.69675436,0,50,23000,0,0
70724,19-03-2014,1,30,0,0,0,-1.4085121,0,50,30000,0,0
68278,17-03-2014,0,48,0,0,0,-2.02320754,2,50,32000,0,0
14992,22-01-2014,1,23,0,0,0,-0.79480885,0,50,33000,0,0
23070,30-01-2014,0,37,0,0,0,-2.0678371,4,60,33000,0,0
61842,11-03-2014,0,62,0,0,0,-1.95935594,0,50,8000,0,0
26038,02-02-2014,0,36,0,0,0,-1.97190745,4,40,60000,0,1
96972,14-04-2014,1,41,0,0,0,-2.05064307,4,50,25000,0,0
1806,06-01-2014,1,28,1,1,0,-1.05467296,2,70,50000,0,0
75967,24-03-2014,1,58,0,0,0,-1.68890348,2,50,60000,0,0
98251,15-04-2014,0,59,0,0,0,-1.79412066,7,50,14000,0,0
51615,28-02-2014,1,27,1,1,0,-2.17853981,1,50,55000,0,1
35287,11-02-2014,0,26,0,0,0,-1.4365796,1,60,26000,0,1
82132,30-03-2014,1,45,0,0,0,-2.67747872,0,40,23000,0,0
75528,23-03-2014,0,44,0,0,0,-2.29297365,3,60,20000,0,0
59924,09-03-2014,0,43,0,0,0,-2.40152904,1,50,25000,0,0
15681,23-01-2014,1,37,1,1,0,-1.74067587,3,80,100000,0,0
